id,name,start_date,end_date,replaces,replaced_by,cabinet,cabinetLabel
Q332360,Denis Healey,1964-04-01,1964-10-16,,Q334282,,
Q334282,Peter Thorneycroft,1964-10-16,1965-07-07,Q332360,Q333028,,
Q333028,Enoch Powell,1965-07-07,1968-04-21,Q334282,Q333275,,
Q333275,Reginald Maudling,1968-04-21,1969,Q333028,Q5534874,,
Q5534874,Geoffrey Rippon,1969,1970-07-08,Q333275,Q332630,,
Q332630,"George Thomson, Baron Thomson of Monifieth",1970-07-08,1972-04-10,Q5534874,Q333371,,
Q333371,"Fred Peart, Baron Peart",1972-04-10,1974-03-04,Q332630,Q333362,,
Q333362,"Ian Gilmour, Baron Gilmour of Craigmillar",1974-03-04,1974-10-29,Q333371,Q333858,,
Q333858,"Peter Walker, Baron Walker of Worcester",1974-10-29,1975-02-18,Q333362,Q333145,,
Q333145,"George Younger, 4th Viscount Younger of Leckie",1975-02-18,1976-01-15,Q333858,Q333362,,
Q333362,"Ian Gilmour, Baron Gilmour of Craigmillar",1976-01-15,1979-05-04,Q333145,Q334362,,
Q334362,Fred Mulley,1979-05-04,1979-06-14,Q333362,Q333259,,
Q333259,"William Rodgers, Baron Rodgers of Quarry Bank",1979-06-14,1980-12-08,Q334362,Q4981019,,
Q4981019,Brynmor John,1980-12-08,1981-11-24,Q333259,Q6257849,,
Q6257849,John Silkin,1981-11-24,1984-10-26,Q4981019,Q338044,,
Q338044,Denzil Davies,1984-10-26,1988-06-14,Q6257849,Q1672680,,
Q1672680,"Martin O'Neill, Baron O'Neill of Clackmannan",1988-06-14,1992-07-18,Q338044,Q333397,,
Q333397,"David Clark, Baron Clark of Windermere",1992-07-18,1997-05-02,Q1672680,Q9559,,
Q9559,John Major,1997-05-02,1997-06-11,Q333397,Q259836,,
Q259836,Sir George Young,1997-06-11,1998-06-01,Q9559,Q333007,,
Q333007,John Maples,1998-06-01,1999-06-15,Q259836,Q302486,,
Q302486,Iain Duncan Smith,1999-06-15,2001-09-18,Q333007,Q727852,,
Q727852,Bernard Jenkin,2001-09-18,2003-11-06,Q302486,Q390192,,
Q390192,Nicholas Soames,2003-11-06,2005-05-10,Q727852,Q332962,,
Q332962,Michael Ancram,2005-05-10,2005-12-06,Q390192,Q332374,,
Q332374,Liam Fox,2005-12-06,2010-05-11,Q332962,Q258738,,
Q258738,Bob Ainsworth,2010-05-11,2010-10-08,Q332374,Q333702,,
Q333702,Jim Murphy,2010-10-08,2013-10-07,Q258738,Q285975,,
Q285975,Vernon Coaker,2013-10-07,2015-09-14,Q333702,Q302815,,
Q302815,Maria Eagle,2015-09-14,2016-01-06,Q285975,Q272408,,
Q272408,Emily Thornberry,2016-01-06,2016-06-27,Q302815,Q20127903,,
Q20127903,Clive Lewis (politician),2016-06-27,2016-10-06,Q272408,Q392101,,
Q392101,Nia Griffith,2016-10-06,2020-04-06,Q20127903,Q615077,,
Q615077,John Healey (politician),2020-04-06,,Q392101,,,
